"Heizung Lüftung Klima","0/-/-","","","","","Auto"
"Keller","0/0/-","","","","","Auto"
"--- KG Eingang ---","0/0/10","","","","","Auto"
"KG Eingang Sollwerte (Basis-Sollwert)","0/0/11","","","","DPST-9-1","Auto"
"KG Eingang Sollwert Einstellung (Soll-Temperatur)","0/0/12","","","","DPST-1-8","Auto"
"KG Eingang Ventilstellgrösse RM","0/0/13","","","","DPST-5-1","Auto"
"KG Eingang Heizen Stellgrösse","0/0/14","","","","DPST-5-1","Auto"
"KG Eingang HVAC Modus (Heizen Stellgrösse)","0/0/15","","","","DPST-20-102","Auto"
"KG Eingang Frost/Heizen Sicherheits Modus","0/0/16","","","","DPST-1-2","Auto"
"KG Eingang Komfort Modus","0/0/17","","","","DPST-1-2","Auto"
"KG Eingang Standby Modus","0/0/18","","","","DPST-1-2","Auto"
"KG Eingang Nacht Modus","0/0/19","","","","DPST-1-2","Auto"
"KG Eingang Ausschalt Steuerung","0/0/20","","","","DPST-1-1","Auto"
"KG Eingang RHCC Status Rückmeldung","0/0/21","","","","DPST-22-101","Auto"
"KG Eingang Vorhang Sollwert Rückmeldung","0/0/22","","","","DPST-9-1","Auto"
"KG Eingang Sollwert Einstellung Rückmeldung","0/0/23","","","","DPST-9-1","Auto"
"KG Eingang HVAC Status Rückmeldung","0/0/24","","","","","Auto"
"KG Eingang Frost/Heizen Sicherheits Rückmeldung","0/0/25","","","","DPST-1-2","Auto"
"KG Eingang Komfort Modus Rückmeldung","0/0/26","","","","DPST-1-2","Auto"
"KG Eingang Standby Modus Rückmeldung","0/0/27","","","","DPST-1-2","Auto"
"KG Eingang Nacht Modus Rückmeldung","0/0/28","","","","DPST-1-2","Auto"
"Erdgeschoß","0/1/-","","","","","Auto"
"--- Vestibul ---","0/1/0","","","","","Auto"
"Vestibul Sollwerte (Basis-Sollwert)","0/1/1","","","","DPST-9-1","Auto"
"Vestibul Sollwert Einstellung (Soll-Temperatur)","0/1/2","","","","DPST-1-8","Auto"
"Vestibul Ventilstellgrösse RM","0/1/3","","","","DPST-5-1","Auto"
"Vestibul Heizen Stellgrösse","0/1/4","","","","DPST-5-1","Auto"
"Vestibul HVAC Modus","0/1/5","","","","DPST-20-102","Auto"
"Vestibul Frost/Heizen Sicherheits Modus","0/1/6","","","","DPST-1-2","Auto"
"Vestibul Komfort Modus","0/1/7","","","","DPST-1-2","Auto"
"Vestibul Standby Modus","0/1/8","","","","DPST-1-2","Auto"
"Vestibul Nacht Modus","0/1/9","","","","DPST-1-2","Auto"
"Vestibul Ausschalt Steuerung","0/1/10","","","","DPST-1-1","Auto"
"Vestibul RHCC Status Rückmeldung","0/1/11","","","","DPST-22-101","Auto"
"Vestibul Vorhang Sollwert Rückmeldung","0/1/12","","","","DPST-9-1","Auto"
"Vestibul Sollwert Einstellung Rückmeldung","0/1/13","","","","DPST-9-1","Auto"
"Vestibul HVAC Status Rückmeldung","0/1/14","","","","","Auto"
"Vestibul Frost/Heizen Sicherheits Rückmeldung","0/1/15","","","","DPST-1-2","Auto"
"Vestibul Komfort Modus Rückmeldung","0/1/16","","","","DPST-1-2","Auto"
"Vestibul Standby Modus Rückmeldung","0/1/17","","","","DPST-1-2","Auto"
